市場別,報告年度,公司代號,公司名稱,再生能源使用率,資料範圍,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1903,士紙,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1904,正隆,0.01,母公司,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1905,華紙,29.0,華紙合併財報之台灣、大陸生產據點,ISO 9001,0.0008045052292839903,可能漂綠,低風險,正常
上市,2021,1906,寶隆,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1907,永豐餘,31.2,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。 可再生能源包含：SRF、回收紙渣、廢膠片、餘泥、沼氣、木質素、樹皮、木片等,ISO 9001,0.0012067578439259854,可能漂綠,低風險,正常
上市,2021,1909,榮成,2.0,僅母公司,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,2002,中鋼,0.0001,母公司,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,2006,東和鋼鐵,0.0,母公司,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,2007,燁興,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,2008,高興昌,0.0,110年屏南廠區,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,2009,第一銅,0.0,無使用再生能源,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,2010,春源,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2012,春雨,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2013,中鋼構,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,2014,中鴻,0.0,母公司,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,2015,豐興,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2017,官田鋼,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2020,美亞,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2022,聚亨,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2023,燁輝,0.0,2021全年度,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,2024,志聯,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2025,千興,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2027,大成鋼,0.0,nan,ISO 14001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,2028,威致,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2029,盛餘,0.1737,太陽能/電力+天然氣+蒸氣+汽柴油(熱值),ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,2030,彰源,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2031,新光鋼,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2032,新鋼,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2033,佳大,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2034,允強,40.0,四廠總用電量合計為 13698 kw，目前斗一廠和斗二廠安裝太陽能發電，發電量為 5500Kw，共佔四廠總用電量的 40%。,ISO 9001,0.0012067578439259854,可能漂綠,低風險,正常
上市,2021,2038,海光,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2049,上銀,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,2059,川湖,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2062,橋椿,0.0,nan,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,2069,運錩,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2101,南港,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2102,泰豐,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2103,台橡,0.0,合併財務報表之生產營運母子公司,ISO 14001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,2104,國際中橡,78.0,"林園先進廠2021年透過回收製程尾氣轉化成蒸汽進行發電，發電量53,496,000度，佔總用電量78%。",ISO 14001,0.0016090104585679806,可能漂綠,低風險,正常
上市,2021,2105,正新,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,2106,建大,0.0,nan,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,2107,厚生,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,2108,南帝,0.0,母公司,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,2109,華豐,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2114,鑫永銓,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2115,六暉-KY,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2201,裕隆,63.85,裕隆汽車製造(股)公司三義廠區,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,2204,中華,12.6112,占營運範圍比率100%,ISO 9001,0.0008045052292839903,無漂綠跡象,低風險,正常
上市,2021,2206,三陽工業,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2207,和泰車,0.19,母公司,Unknown,0.0008045052292839903,無漂綠跡象,高風險,正常
上市,2021,2208,台船,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,2211,長榮鋼,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2227,裕日車,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2228,劍麟,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,2231,為升,0.0,為升電裝工業股份有限公司,Unknown,0.0012067578439259854,可能漂綠,高風險,正常
