市場別,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2023,2231,為升,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2233,宇隆,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2236,百達-KY,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2239,英利-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2241,艾姆勒,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2243,宏旭-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2247,汎德永業,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2250,IKKA-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2254,巨鎧精密-創,3,3,0.9333,3,0.9524,0.0005452562704471102,低風險,正常,正常
上市,2023,2258,鴻華先進-創,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2301,光寶科,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2302,麗正,3,3,0.8333,4,0.8,0.0005452562704471102,低風險,正常,正常
上市,2023,2303,聯電,5,5,1.0,5,1.0,0.0005452562704471102,中風險,正常,異常
上市,2023,2305,全友,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2308,台達電,5,5,1.0,5,0.9667,0.0005452562704471102,中風險,正常,異常
上市,2023,2312,金寶,3,3,0.8889,3,0.9524,0.0005452562704471102,低風險,正常,正常
上市,2023,2313,華通,3,3,0.9167,3,0.9333,0.0005452562704471102,低風險,正常,正常
上市,2023,2314,台揚,3,2,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,2316,楠梓電,3,2,0.8889,3,0.75,0.0005452562704471102,低風險,正常,正常
上市,2023,2317,鴻海,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2321,東訊,3,3,0.8889,3,0.75,0.0005452562704471102,低風險,正常,正常
上市,2023,2323,中環,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2324,仁寶,3,3,0.8333,3,0.8889,0.0005452562704471102,低風險,正常,正常
上市,2023,2327,國巨,3,3,1.0,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,2328,廣宇,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2329,華泰,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2330,台積電,6,6,1.0,6,0.97,0.0005452562704471102,高風險,正常,異常
上市,2023,2331,精英,2,1,1.0,3,0.9412,0.0005452562704471102,低風險,正常,異常
上市,2023,2332,友訊,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2337,旺宏,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
