"報告年度:2023","議題:董事會"
"公司代號","公司名稱"," 董事會席次(席)- 董事會席次(席)","獨立董事席次(席)-獨立董事席次(席)","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率","女性董事席次及比率-席","女性董事席次及比率-比率"
"=""5009""","榮剛","9","4","98.99%","100.00%","1","11.11%"
"=""5011""","久陽","9","3","98.53%","100.00%","1","11.11%"
"=""5013""","強新","11","4","94.55%","45.45%","1","9.09%"
"=""5014""","建錩","10","4","91.00%","90.00%","1","10.00%"
"=""5015""","華祺","7","3","96.43%","42.85%","0","0.00%"
"=""5016""","松和","7","3","97.62%","100.00%","0","0.00%"
"=""5201""","凱衛","9","3","95.45%","100.00%","1","11.11%"
"=""5202""","力新","9","4","0.91%","100.00%","3","33.33%"
"=""5205""","中茂","7","3","88.57%","100.00%","0","0.00%"
"=""5206""","坤悅","7","4","93.62%","100.00%","1","14.29%"
"=""5209""","新鼎","9","3","100.00%","100.00%","1","11.00%"
"=""5210""","寶碩","4","0","90.70%","0.00%","1","25.00%"
"=""5211""","蒙恬","9","3","94.44%","0.00%","3","33.33%"
"=""5212""","凌網","9","4","100.00%","100.00%","2","22.22%"
"=""5213""","亞昕","9","4","87.62%","100.00%","4","44.44%"
"=""5220""","萬達光電","10","3","100.00%","10.00%","2","20.00%"
"=""5227""","立凱-KY","7","4","93.65%","100.00%","1","14.29%"
"=""5228""","鈺鎧","9","3","86.67%","100.00%","2","22.22%"
"=""5230""","雷笛克光學","9","4","100.00%","100.00%","2","22.22%"
"=""5236""","凌陽創新","7","3","98.21%","100.00%","1","14.28%"
"=""5245""","智晶","7","3","100.00%","100.00%","1","14.29%"
"=""5251""","天鉞電","7","3","100.00%","100.00%","0","0.00%"
"=""5263""","智崴","8","4","97.00%","100.00%","0","0.00%"
"=""5272""","笙科","8","4","94.44%","100.00%","0","0.00%"
"=""5274""","信驊","9","4","100.00%","100.00%","0","0.00%"
"=""5276""","達輝-KY","7","3","100.00%","100.00%","1","14.28%"
"=""5278""","尚凡","9","3","98.00%","100.00%","0","0.00%"
"=""5287""","數字","9","3","100.00%","100.00%","4","44.44%"
"=""5289""","宜鼎","9","4","93.33%","100.00%","1","11.11%"
