"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體-數據(公噸CO₂e)","直接(範疇一)溫室氣體-資料邊界","直接(範疇一)溫室氣體-確信範圍","能源間接(範疇二)溫室氣體-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體-資料邊界","能源間接(範疇二)溫室氣體-確信範圍","其他間接(範疇三)溫室氣體-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體-資料邊界","其他間接(範疇三)溫室氣體-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""3285""","微端","0.0000","母公司","N/A","84.8600","母公司","N/A","2.7200","母公司","N/A","0.1139"
"=""3287""","廣寰科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3288""","點晶","0.0000","母公司","N/A","0.0000","母公司","N/A","68.4240","母公司","N/A","0.0698"
"=""3289""","宜特","2,416.8270","竹科一廠/竹科二廠/埔頂廠/德安廠/常憶廠/台元廠/台北內湖廠","竹科一廠/竹科二廠/埔頂廠/德安廠/常憶廠/台元廠/台北內湖廠","20,231.1850","竹科一廠/竹科二廠/埔頂廠/德安廠/常憶廠/台元廠/台北內湖廠","竹科一廠/竹科二廠/埔頂廠/德安廠/常憶廠/台元廠/台北內湖廠","18.3580","竹科一廠/竹科二廠/埔頂廠/德安廠/常憶廠/台元廠/台北內湖廠","竹科一廠/竹科二廠/埔頂廠/德安廠/常憶廠/台元廠/台北內湖廠","6.6138"
"=""3290""","東浦","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3293""","鈊象","97.5480","新北市五股區五工路130號","N/A","1,705.8808","新北市五股區五工路130號","N/A","N/A","N/A","N/A","0.1276"
"=""3294""","英濟","758.4600","母公司台灣廠區、子公司上海英濟、上海英備、上海上驊、蘇州英田、東莞英濟及MegaforceMY","N/A","28,592.7201","母公司台灣廠區、子公司上海英濟、上海英備、上海上驊、蘇州英田、東莞英濟、MegaforceMY及MegaforceMX","N/A","N/A","N/A","N/A","7.0928"
"=""3297""","杭特","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3303""","岱稜","13,729.5158","台灣台南所有廠區","台灣台南所有廠區","11,782.9374","台灣台南所有廠區","台灣台南所有廠區","47,973.7901","台灣台南所有廠區","台灣台南所有廠區","10.3794"
"=""3306""","鼎天","24.2650","鼎天國際股份有限公司","N/A","193.1563","鼎天國際股份有限公司","N/A","135.6719","鼎天國際股份有限公司","N/A","0.2700"
