"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""4804""","大略-KY","3","2","100.00%","3","2.00%"
"=""4806""","昇華","3","3","100.00%","3","100.00%"
"=""4903""","聯光通","3","3","100.00%","3","100.00%"
"=""4905""","台聯電","3","3","100.00%","3","100.00%"
"=""4907""","富宇","3","2","100.00%","3","100.00%"
"=""4908""","前鼎","3","2","100.00%","3","100.00%"
"=""4909""","新復興","4","4","100.00%","4","100.00%"
"=""4911""","德英","4","4","100.00%","4","100.00%"
"=""4923""","力士","3","3","100.00%","3","100.00%"
"=""4924""","欣厚-KY","3","3","100.00%","3","100.00%"
"=""4931""","新盛力","4","4","100.00%","4","100.00%"
"=""4933""","友輝","3","3","89.00%","3","87.00%"
"=""4939""","亞電","3","3","100.00%","4","100.00%"
"=""4945""","陞達科技","3","3","100.00%","3","100.00%"
"=""4946""","辣椒","3","3","88.89%","3","86.67%"
"=""4951""","精拓科","3","3","100.00%","3","100.00%"
"=""4953""","緯軟","3","3","100.00%","5","100.00%"
"=""4966""","譜瑞-KY","3","3","100.00%","3","100.00%"
"=""4971""","IET-KY","4","4","83.33%","4","80.00%"
"=""4972""","湯石照明","3","3","100.00%","3","100.00%"
"=""4973""","廣穎電通","4","4","91.67%","4","93.75%"
"=""4974""","亞泰","3","3","100.00%","4","92.86%"
"=""4979""","華星光","3","3","100.00%","3","100.00%"
"=""4987""","科誠","3","3","100.00%","3","100.00%"
"=""4991""","環宇-KY","3","3","100.00%","3","100.00%"
"=""4995""","晶達","3","3","66.00%","3","75.00%"
"=""5009""","榮剛","3","3","100.00%","4","100.00%"
"=""5011""","久陽","3","3","100.00%","3","100.00%"
"=""5013""","強新","3","2","100.00%","4","100.00%"
"=""5014""","建錩","4","4","100.00%","4","100.00%"
"=""5015""","華祺","0","2","100.00%","3","100.00%"
"=""5016""","松和","3","3","100.00%","3","100.00%"
"=""5201""","凱衛","3","3","100.00%","3","100.00%"
"=""5202""","力新","3","3","88.89%","4","86.36%"
"=""5205""","中茂","3","3","100.00%","3","100.00%"
"=""5206""","坤悅","4","4","100.00%","4","96.00%"
"=""5209""","新鼎","3","3","100.00%","3","100.00%"
"=""5210""","寶碩","3","3","100.00%","3","100.00%"
"=""5211""","蒙恬","3","3","100.00%","3","100.00%"
"=""5212""","凌網","5","4","100.00%","4","100.00%"
"=""5213""","亞昕","4","4","100.00%","4","96.88%"
"=""5220""","萬達光電","3","3","100.00%","3","100.00%"
"=""5227""","立凱-KY","3","3","100.00%","4","100.00%"
"=""5228""","鈺鎧","3","3","83.33%","3","93.33%"
"=""5230""","雷笛克光學","4","4","100.00%","4","100.00%"
"=""5236""","凌陽創新","3","3","100.00%","3","100.00%"
"=""5245""","智晶","3","3","100.00%","3","100.00%"
"=""5251""","天鉞電","3","3","100.00%","3","100.00%"
"=""5263""","智崴","4","4","92.86%","4","96.00%"
"=""5272""","笙科","4","4","100.00%","4","100.00%"
"=""5274""","信驊","4","4","100.00%","4","100.00%"
"=""5276""","達輝-KY","3","3","100.00%","3","100.00%"
"=""5278""","尚凡","3","3","100.00%","3","100.00%"
"=""5287""","數字","3","3","100.00%","3","100.00%"
"=""5289""","宜鼎","4","4","100.00%","4","95.00%"
"=""5291""","邑昇","3","3","100.00%","3","100.00%"
"=""5299""","杰力","4","4","100.00%","4","100.00%"
"=""5301""","寶得利","3","3","100.00%","3","100.00%"
"=""5302""","太欣","3","3","83.33%","3","88.89%"
"=""5309""","系統電","3","3","93.33%","3","95.24%"
"=""5310""","天剛","3","3","89.00%","3","92.00%"
"=""5312""","寶島科","4","4","100.00%","4","100.00%"
"=""5314""","世紀","3","3","100.00%","3","100.00%"
"=""5315""","光聯","3","3","100.00%","3","100.00%"
"=""5321""","美而快","3","3","100.00%","3","100.00%"
"=""5324""","士開","3","2","100.00%","3","100.00%"
"=""5328""","華容","3","1","100.00%","3","100.00%"
"=""5340""","建榮","3","3","100.00%","3","100.00%"
"=""5344""","立衛","3","3","100.00%","1","100.00%"
"=""5345""","天揚","3","3","100.00%","3","100.00%"
"=""5347""","世界","4","4","100.00%","4","100.00%"
"=""5348""","正能量智能","3","3","100.00%","3","80.00%"
"=""5351""","鈺創","3","2","100.00%","4","100.00%"
"=""5353""","台林","3","3","100.00%","4","87.50%"
"=""5355""","佳總","3","2","100.00%","4","93.75%"
"=""5356""","協益","3","3","100.00%","3","100.00%"
"=""5364""","力麗店","3","3","100.00%","3","88.89%"
"=""5371""","中光電","3","3","100.00%","3","93.00%"
"=""5381""","合正","3","3","100.00%","3","100.00%"
"=""5386""","青雲","3","3","100.00%","3","100.00%"
"=""5392""","能率","3","3","100.00%","3","94.44%"
"=""5398""","慕康生醫","3","3","83.33%","3","91.67%"
"=""5403""","中菲","3","2","100.00%","3","100.00%"
"=""5410""","國眾","3","3","100.00%","3","100.00%"
"=""5425""","台半","3","3","100.00%","4","100.00%"
"=""5426""","振發","5","3","100.00%","4","80.00%"
"=""5432""","新門","3","3","100.00%","3","100.00%"
"=""5438""","東友","3","2","100.00%","4","100.00%"
"=""5439""","高技","3","3","83.33%","3","91.67%"
"=""5443""","均豪","4","4","100.00%","4","100.00%"
"=""5450""","南良","3","3","100.00%","3","100.00%"
"=""5452""","佶優","3","3","100.00%","3","100.00%"
"=""5455""","昇益","4","4","100.00%","4","100.00%"
"=""5457""","宣德","3","3","100.00%","4","100.00%"
"=""5460""","同協","3","3","100.00%","3","100.00%"
"=""5464""","霖宏","3","2","100.00%","4","100.00%"
"=""5465""","富驊","3","3","83.33%","3","91.67%"
"=""5468""","凱鈺","3","3","94.00%","3","96.00%"
"=""5474""","聰泰","3","3","100.00%","3","100.00%"
"=""5475""","德宏","2","2","100.00%","4","100.00%"
"=""5478""","智冠","3","3","100.00%","4","100.00%"
"=""5481""","新華","3","3","100.00%","3","100.00%"
"=""5483""","中美晶","4","4","90.00%","4","96.88%"
"=""5487""","通泰","3","3","100.00%","3","100.00%"
"=""5488""","松普","3","3","100.00%","3","100.00%"
"=""5489""","彩富","3","3","83.33%","3","91.67%"
"=""5490""","同亨","3","3","83.33%","3","86.67%"
"=""5493""","三聯","3","3","100.00%","3","100.00%"
"=""5498""","凱崴","3","3","83.33%","3","83.33%"
"=""5508""","永信建","3","3","100.00%","4","87.50%"
"=""5511""","德昌","3","3","100.00%","3","100.00%"
"=""5512""","力麒","3","3","100.00%","3","100.00%"
"=""5514""","三豐","3","3","100.00%","3","100.00%"
"=""5516""","雙喜","3","3","100.00%","3","91.66%"
"=""5520""","力泰","3","3","100.00%","4","95.00%"
"=""5523""","豐謙","3","2","100.00%","3","88.89%"
"=""5529""","鉅陞","4","4","100.00%","4","95.24%"
"=""5530""","龍巖","3","2","100.00%","3","100.00%"
"=""5536""","聖暉*","4","4","100.00%","4","100.00%"
"=""5543""","桓鼎-KY","3","3","100.00%","3","100.00%"
"=""5548""","安倉","3","3","100.00%","3","100.00%"
"=""5601""","台聯櫃","3","2","100.00%","7","96.42%"
