"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""3689""","湧德","N/A","18.8900","18.8900","母公司","N/A","N/A","N/A"
"=""3691""","碩禾","1.0000","45.8412","46.8412","僅母公司(本公司新豐廠及湖口廠)","N/A","N/A","N/A"
"=""3693""","營邦","0.0000","1.2070","1.2070","母公司","0.0002","廢棄物量/百萬元營業額","N/A"
"=""3707""","漢磊","284.8900","109.0800","393.9700","母公司","N/A","N/A","N/A"
"=""3709""","鑫聯大投控","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3710""","連展投控","3.8374","1,475.4670","1,475.4670","投控/連展/連訊/連騰(含廠區深圳/天津/昆山/天鑫/江西)","0.4517","廢棄物量/百萬元營業額","N/A"
"=""3713""","新晶投控","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4102""","永日","266.0248","213.8920","479.9168","僅母公司","1.0099","廢棄物量/百萬元營業額","N/A"
"=""4105""","東洋","28.4300","14.8400","43.2700","台灣東洋六堵廠、中壢廠、內湖廠為製造生產據點","0.0079","廢棄物量/百萬元營業額","N/A"
"=""4107""","邦特","0.0000","143.7400","143.7400","2023宜蘭廠自行盤查 ","0.0739","廢棄物量/百萬元營業額","N/A"
"=""4109""","加捷生醫","0.0000","13.1300","13.1300","全廠區","N/A","N/A","N/A"
"=""4111""","濟生","6.3298","95.9953","102.3251","事業廢棄物申報及資訊管理系統","N/A","N/A","N/A"
"=""4113""","聯上","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4114""","健喬","22.8174","261.0800","283.8974","包含健喬總公司、健喬廠、健康廠、七星廠、優良廠。","0.0552","廢棄物量/百萬元營業額","N/A"
"=""4116""","明基醫","0.0000","33.5000","33.5000","明基醫內湖總公司、龜山廠、臺中廠","0.0775","廢棄物量/百萬元營業額","N/A"
"=""4120""","友華","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4121""","優盛","2,373.8900","6,890.0000","9,263.8900","台北總公司及大陸廠區","N/A","N/A","N/A"
"=""4123""","晟德","5.8000","23.7400","29.5400","本公司新竹廠區","N/A","N/A","N/A"
"=""4126""","太醫","0.2800","56.5200","56.8000","銅科廠","0.0245","廢棄物量/百萬元營業額","N/A"
